Book_Name|Author|Release_Date|Rating|Number_of_Review
Rick Steves Prague & the Czech Republic|Rick Steves and Honza Vihan|May 12, 2015|4.8|5
Cassey Ho's Hot Body Year-Round: The POP Pilates Plan to Get Slim, Eat Clean, and Live Happy Through Every Season|Cassey Ho|Apr 7, 2015|4.8|137
Killing Monica|Candace Bushnell|Jun 23, 2015|2|2
An Uncommon Bond|Jeff Brown|May 1, 2015|4.7|17
Ms. Marvel Volume 2: Generation Why|G. Willow Wilson and Jacob Wyatt|Apr 7, 2015|4.7|31
The 39-Story Treehouse (The Treehouse Books)|Andy Griffiths and Terry Denton|Apr 7, 2015|4.9|39
I, Ripper: A Novel|Stephen Hunter|May 19, 2015|3.4|56
The Marriage Book: Centuries of Advice, Inspiration, and Cautionary Tales from Adam and Eve to Zoloft|Lisa Grunwald and Stephen Adler|May 12, 2015|4.6|10
Bad Days in History: A Gleefully Grim Chronicle of Misfortune, Mayhem, and Misery for Every Day of the Year|Michael Farquhar|Apr 21, 2015|4.4|18
The Coloring Cafe-Volume One: A Coloring Book for Grown-Up Girls|Ronnie Walter|Apr 15, 2015|4.7|13
The Digital Doctor: Hope, Hype, and Harm at the Dawn of Medicine's Computer Age|Robert Wachter|Apr 1, 2015|4.6|60
The Magician's Land: A Novel (Magicians Trilogy)|Lev Grossman|Jun 9, 2015|4.5|562
Fables Vol. 21: Happily Ever After|Bill Willingham and Mark Buckingham|May 12, 2015|4.3|14
MCAT Verbal Practice: 108 Passages for the new CARS Section|Bryan Schnedeker|Apr 21, 2015|5|4
Since You've Been Gone|Morgan Matson|May 5, 2015|4.5|189
Low & Slow 2: The Art of Barbecue, Smoke-Roasting, and Basic Curing|Gary Wiviott and Colleen Rush|May 26, 2015|4.6|9
The Patriot Threat: A Novel (Cotton Malone)|Steve Berr|Mar 31, 2015|4.2|529
Advanced Analytics with Spark: Patterns for Learning from Data at Scale|Sandy Ryza and Uri Laserson|Apr 20, 2015|4.8|6
The Job: True Tales from the Life of a New York City Cop|Steve Osborne|Apr 21, 2015|4.2|86
Wanderlust: A Modern Yogi's Guide to Discovering Your Best Self|Jeff Krasno and Sarah Herrington|May 12, 2015|4.9|9
Dragon Age: The World of Thedas Volume 2|Various|May 12, 2015|4.3|16
On the Run: Fugitive Life in an American City|Alice Goffman|Apr 7, 2015|4.2|103
The Thrilling Adventures of Lovelace and Babbage: The (Mostly) True Story of the First Computer|Sydney Padua|Apr 21, 2015|4.7|23
Hit & Miss (Jeter Publishing)|Derek Jeter and Paul Mantell|Apr 28, 2015|4.7|11
Our Lost Constitution: The Willful Subversion of America's Founding Document|Mike Lee|Apr 7, 2015|4.7|174
The Dark Net: Inside the Digital Underworld|Jamie Bartlett|May 22, 2015|4|20
Solitude Creek (A Kathryn Dance Novel)|Jeffery Deaver|May 12, 2015|4.2|165
Marvel's Avengers: Age of Ultron: The Art of the Movie Slipcase|Marvel Comics|May 12, 2015|4.2|12
The Queen of the Tearling: A Novel (Queen of the Tearling, The)|Erika Johansen|Apr 14, 2015|4.2|444
Breakaway: Beyond the Goal|Alex Morgan|Jun 2, 2015|5|3
1,460 ACT Practice Questions, 4th Edition (College Test Preparation)|Princeton Review|May 5, 2015||
Ms. Marvel Vol. 3: Crushed|G. Willow Wilson and Takeshi Miyazawa|Jun 23, 2015||Marvel Comics & Graphic Novels
Meb For Mortals: How to Run, Think, and Eat like a Champion Marathoner|Meb Keflezighi and Scott Douglas|Apr 7, 2015|4.6|43
The Silkworm (A Cormoran Strike Novel)|Robert Galbraith|Jun 2, 2015|4.1|3,428
Healthy Brain, Happy Life: A Personal Program to Activate Your Brain and Do Everything Better|Wendy Suzuki and Billie Fitzpatrick|May 19, 2015|4.5|4
I Need A Day To Pray|Tina Campbell|Apr 28, 2015|4.6|82
One Plus One: A Novel|Jojo Moyes|Mar 31, 2015|4.4|1,815
Pool|Jihyeon Lee|May 5, 2015|4.6|7
Blue Chip Kids: What Every Child (and Parent) Should Know About Money, Investing, and the Stock Market|David W. Bianchi|Mar 30, 2015|4.8|9
Healthy Happy Vegan Kitchen|Kathy Patalsk|Apr 28, 2015|4.8|18
Kristy's Great Idea: Full Color Edition (The Baby-Sitters Club Graphix #1)|Ann M. Martin and Raina Telgemeier|Apr 28, 2015|4.7|23
Roadmap: The Get-It-Together Guide for Figuring Out What to Do with Your Life|Roadtrip Nation and Brian McAllister|Apr 7, 2015|4.7|28
Age of Ambition: Chasing Fortune, Truth, and Faith in the New China|Evan Osnos|May 5, 2015|4.5|188
The Elder Scrolls V: Skyrim - The Skyrim Library, Vol. I: The Histories|Bethesda Softworks|Jun 23, 2015||
Wildfire In His Arms|Johanna Lindse|Jun 16, 2015|3.7|9
Infamy: The Shocking Story of the Japanese-American Internment in World War II|Richard Reeves|Apr 21, 2015|4.4|30
3 New PSAT Practice Tests (Prep book), 2015 Edition|Ivy Global|May 6, 2015|4.3|4
The Unfortunates: A Novel|Sophie McManus|Jun 2, 2015||
Spinster: Making a Life of One's Own|Kate Bolick|Apr 21, 2015|3.6|75
The Art and Making of Hannibal: The Television Series|Jesse McLean|May 5, 2015|4.7|25
Me and Earl and the Dying Girl (Movie Tie-in Edition)|Jesse Andrews|May 26, 2015|3.9|82
The Hunter Killers: The Extraordinary Story of the First Wild Weasels, the Band of Maverick Aviators Who Flew...|Dan Hampton|Jun 2, 2015|5|12
Barron's NYSTCE, 4th Edition: EAS / ALST / CSTs / edTPA|Dr. Robert D. Postman|Apr 13, 2015|3.6|9
The Perfect Letter: A Novel|Chris Harrison|May 19, 2015|4.3|65
The Elder Scrolls Online: Tales of Tamriel - Vol. I: The Land|Bethesda Softworks|Apr 21, 2015|4.8|16
The Selection Series Box Set: The Selection, The Elite, The One|Kiera Cass|May 5, 2015|4.6|8
A Complex Fate: William L. Shirer and the American Century|Ken Cuthbertson|May 2015|5|1
Love the Home You Have: Simple Ways to...Embrace Your Style *Get Organized *Delight in Where You Are|Melissa Michaels|Mar 31, 2015|4.6|97
Ice Cream Summer|Peter Sis|May 26, 2015|4.2|61
The Bone Clocks: A Novel|David Mitchell|Jun 16, 2015|3.7|1,158
Get Your Hopes Up!: Expect Something Good to Happen to You Every Day|Joyce Meyer|Apr 7, 2015|4.8|44
More Than a Season: Building a Championship Culture|Dayton Moore and Matt Fulks|May 8, 2015|5|9
Liaigre 12 Projects|Christian Liaigre|Jun 12, 2015||Interior Design
The Story of Science: From the Writings of Aristotle to the Big Bang Theory|Susan Wise Bauer|May 11, 2015|4.8|5
Goebbels: A Biography|Peter Longerich and Alan Bance|May 5, 2015|3.8|16
The Great Minds of Investing|William Green and Michael O'Brien|May 29, 2015|4.7|7
The Negotiator: A Memoir|George Mitchell|May 5, 2015|5|8
Grey: Fifty Shades of Grey As Told by Christian|E. L. James|Jun 18, 2015||1 more promotion
Capital Dames: The Civil War and the Women of Washington, 1848-1868|Cokie Roberts|Apr 14, 2015|4.2|56
The Children's Crusade: A Novel|Ann Packer|Apr 7, 2015|3.7|133
Mislaid: A Novel|Nell Zink|May 19, 2015|3.5|20
No Excuses: Growing Up Deaf and Achieving My Super Bowl Dreams|Derrick Coleman Jr. and Marcus Brotherton|Jun 2, 2015|4.8|15
A Guide to the Business Analysis Body of Knowledge (BABOK Guide)|IIBA|Apr 15, 2015|4.7|3
What's Math Got to Do with It?: How Teachers and Parents Can Transform Mathematics Learning and Inspire Success|Jo Boaler|Mar 31, 2015|4.7|15
Death Wears a Beauty Mask and Other Stories|Mary Higgins Clark|Apr 28, 2015|4|100
The League of Outsider Baseball: An Illustrated History of Baseball's Forgotten Heroes|Gary Cieradkowski|May 5, 2015|4.9|13
Moleskine 2015-2016 Weekly Planner, Horizontal, 18M, Large, Scarlet Red, Hard Cover (5 x 8.25)|Moleskine|Apr 1, 2015|4.5|2
The Princess in Black|Shannon Hale and Dean Hale|Apr 14, 2015|4.9|126
No One Understands You and What to Do About It|Heidi Grant Halvorson|Apr 14, 2015|4.4|27
Catastrophic Failure: Blindfolding America in the Face of Jihad|Stephen Coughlin|May 4, 2015|4.8|5
Where Are My Books?|Debbie Ridpath Ohi|May 12, 2015|5|4
The Border|Robert McCammon|May 31, 2015|4.2|104
Green: A Field Guide to Marijuana|Dan Michaels and Erik Christiansen|May 19, 2015|4.6|13
The Toymaker (Holding Their Own) (Volume 10)|Joe Nobody and E.T. Ivester|May 23, 2015|4.4|30
Unfair: The New Science of Criminal Injustice|Adam Benforado|Jun 16, 2015|4.2|32
The Art of Forgery: The Minds, Motives and Methods of the Master Forgers|Noah Charne|May 12, 2015|5|2
Donna Bell's Bake Shop: Recipes and Stories of Family, Friends, and Food|Pauley Perrette and Darren Greenblatt|Apr 14, 2015|4.8|133
A Spy Among Friends: Kim Philby and the Great Betrayal|Ben Macintyre and John Le Carre|May 12, 2015|4.6|677
The 6th Extinction: A Sigma Force Novel (Sigma Force Novels)|James Rollins|May 26, 2015|4.3|872
Coloring Flower Mandalas: 30 Hand-drawn Designs for Mindful Relaxation|Wendy Piersall|May 12, 2015|4.7|30
The Night Gardener|Jonathan Auxier|May 5, 2015|4.8|100
Elephant Company: The Inspiring Story of an Unlikely Hero and the Animals Who Helped Him Save Lives in World War II|Vicki Croke|Apr 14, 2015|4.7|433
Art of He Man and the Masters of the Universe|Various|Apr 28, 2015|4.9|51
Merriam-Webster Children's Dictionary|DK|May 19, 2015|4.6|282
The Best Homemade Kids' Snacks on the Planet: More than 200 Healthy Homemade Snacks You and Your Kids Will Love|Laura Fuentes|Jun 15, 2015|4.5|40
Something Must Be Done About Prince Edward County: A Family, a Virginia Town, a Civil Rights Battle|Kristen Green|Jun 9, 2015|5|12
Expanding Universe: Photographs from the Hubble Space Telescope|Owen Edwards and Zoltan Leva|Apr 15, 2015|4.5|10
The Double Life of Fidel Castro: My 17 Years as Personal Bodyguard to El Lider Maximo|Juan Reinaldo Sanchez and Axel Gyldén|May 12, 2015|4.4|17
The Millionaire and the Bard: Henry Folger's Obsessive Hunt for Shakespeare's First Folio|Andrea Mays|May 12, 2015|4.6|18
Flash: The Homeless Donkey Who Taught Me about Life, Faith, and Second Chances|Rachel Anne Ridge and Priscilla Shirer|Apr 24, 2015|5|46
Parenting with Presence: Practices for Raising Conscious, Confident, Caring Kids (An Eckhart Tolle Edition)|Susan Stiffelman and Eckhart Tolle|Apr 14, 2015|5|22
The Smoke at Dawn: A Novel of the Civil War (the Civil War in the West)|Jeff Shaara|May 26, 2015|4.6|530
The Queen: The Epic Ambition of Hillary and the Coming of a Second "Clinton Era"|Hugh Hewitt|Jun 16, 2015|3.7|3
The Blue Whale|Jenni Desmond|May 26, 2015|4.3|3
HCGChica's HCG Diet Workbook: 3 Books in 1 - Coaching, Diet Guide, and Phase 2 Daily Tracker (HCG Diet Workbooks...|Rayzel Lam|Apr 19, 2015|4.9|130
12 Bones Smokehouse: A Mountain BBQ Cookbook|Bryan King and Angela King|Apr 1, 2015|4.9|26
Ditch That Textbook: Free Your Teaching and Revolutionize Your Classroom|Matt Miller|Apr 13, 2015|5|
Wings of Fire Book Five: The Brightest Night|Tui T. Sutherland|Apr 28, 2015|4.9|337
Theodore Boone Box Set|John Grisham|May 19, 2015|4.8|13
Church Refugees: Sociologists reveal why people are DONE with church but not their faith|Josh Packard Ph.D and Ashleigh Hope|Jun 1, 2015|4.8|14
PassPorter's Walt Disney World 2015: The Unique Travel Guide, Planner, Organizer, Journal, and Keepsake!|Jennifer Marx and Dave Marx|Apr 21, 2015|4.6|14
Handmade Style: 23 Must-Have Basics to Stitch, Use, and Wear|Anna Graham|May 26, 2015|4.7|19
How Dante Can Save Your Life: The Life-Changing Wisdom of History's Greatest Poem|Rod Dreher|Apr 14, 2015|4.7|40
Warriors: Dawn of the Clans #5: A Forest Divided|Erin Hunter and Wayne McLoughlin|Apr 7, 2015|4.9|45
Bumerán Chávez: Los fraudes que llevaron al colapso de Venezuela (Spanish Edition)|Emili J Blasco|Apr 16, 2015|4.6|
Kingdom Keepers: The Return Book One Disney Lands|Ridley Pearson|Mar 31, 2015|4.8|55
The Night Before the Fourth of July|Natasha Wing and Amy Wummer|May 12, 2015|4.3|3
Tail Gait: A Mrs. Murphy Mystery|Rita Mae Brown|May 26, 2015|4.3|67
Mastering MuseScore: Make beautiful sheet music with MuseScore 2|Marc Sabatella|May 25, 2015|5|3
The Tapping Solution for Pain Relief: A Step-by-Step Guide to Reducing and Eliminating Chronic Pain|Nick Ortner|Apr 21, 2015|4.8|129
Pedigree: How Elite Students Get Elite Jobs|Lauren A. Rivera|May 4, 2015|4.8|4
Eating Rome: Living the Good Life in the Eternal City|Elizabeth Minchilli|Apr 7, 2015|4.8|20
Days of Rage: America's Radical Underground, the FBI, and the Forgotten Age of Revolutionary Violence|Bryan Burrough|Apr 7, 2015|4|71
China: Through the Looking Glass|Andrew Bolton and Adam Gecz|May 26, 2015|4|6
Redesigning America's Community Colleges: A Clearer Path to Student Success|Thomas R. Bailey and Shanna Smith Jaggars|Apr 9, 2015|5|5
Before Tomorrowland|Jeff Jensen and Damon Lindelof|Apr 7, 2015|3.6|51
Battlefield America: The War on the American People|John W. Whitehead and Ron Paul|Apr 14, 2015|4.6|63
Spurious Correlations|Tyler Vigen|May 12, 2015|4.5|4
The Soul of Discipline: The Simplicity Parenting Approach to Warm, Firm, and Calm Guidance- From Toddlers to Teens|Kim John Payne|Jun 2, 2015|5|1
The Elimination Diet: Discover the Foods That Are Making You Sick and Tired--and Feel Better Fast|Tom Malterre and Alissa Segersten|Mar 31, 2015|4.6|45
Pete the Cat's Train Trip (My First I Can Read)|James Dean|Jun 23, 2015||Children's Trains Books
Gentlemen, Start Your Engines!: The Bonhams Guide to Classic Race and Sports Cars|Jared Zaugg and Robert Klanten|Jun 3, 2015||
Find the Good: Unexpected Life Lessons from a Small-Town Obituary Writer|Heather Lende|Apr 28, 2015|4.7|23
Suddenly One Summer (Novel)|Julie James|Jun 2, 2015|4.4|106
Let God Fight Your Battles: Being Peaceful in the Storm|Joyce Meyer|Jun 2, 2015|5|2
Cash Landing: A Novel|James Grippando|Jun 2, 2015|4.3|21
100 Things Every Homeowner Must Know: How to Save Money, Solve Problems and Improve Your Home|Editors Of Family Handyman|Apr 7, 2015|4.5|20
Unafraid: Trusting God in an Unsafe World|Susie Davis|Apr 21, 2015|4.9|24
The Shadows: A Novel of the Black Dagger Brotherhood|J.R. Ward|Mar 31, 2015|4.6|1,804
A Student's Guide to Waves|Daniel Fleisch and Laura Kinnaman|Apr 9, 2015||
Are You Fully Charged?: The 3 Keys to Energizing Your Work and Life|Tom Rath|May 5, 2015|4.7|48
KL: A History of the Nazi Concentration Camps|Nikolaus Wachsmann|Apr 14, 2015|4.6|29
Jurassic World Special Edition Junior Novelization (Jurassic World)|David Lewman and Random House|Jun 16, 2015|5|1
The Girl With All the Gifts|M. R. Care|Apr 28, 2015|4.3|818
The Status of All Things: A Novel|Liz Fenton and Lisa Steinke|Jun 2, 2015|4.4|27
Rescue at Los Baños: The Most Daring Prison Camp Raid of World War II|Bruce Henderson|Mar 31, 2015|4.6|44
The Silver Platter: Simple to Spectacular Wholesome, Family-Friendly Recipes|Daniella Silver and Norene Gilletz|May 6, 2015|5|8
Always Pack a Party Dress: And Other Lessons Learned From a (Half) Life in Fashion|Amanda Brooks|May 26, 2015|4.2|6
Rick Steves Budapest|Rick Steves and Cameron Hewitt|May 26, 2015|5|1
Shopkins: Welcome to Shopville|Jenne Simon and Scholastic|Apr 28, 2015|4.6|18
Mad Max: Fury Road INSPIRED ARTISTS Deluxe Edition|Lee Bermejo|May 12, 2015|4.1|14
Living the Farm Sanctuary Life: The Ultimate Guide to Eating Mindfully, Living Longer, and Feeling Better Every...|Gene Baur and Gene Stone|Apr 7, 2015|4.9|91
A Guide to Kotlikoff, Moeller and Solman's Get What's Yours: The Secrets to Maxing Out Your Social Security  -...|I.K. Mullins and Brief Concise and to the Point Publishing|Mar 30, 2015|3.6|
Grace Makes It Great (American Girl Today)|Mary Casanova and Sarah Davis|May 21, 2015|5|3
Mosby's 2016 Nursing Drug Reference, 29e (SKIDMORE NURSING DRUG REFERENCE)|Linda Skidmore-Roth RN  MSN  NP|Jun 5, 2015|5|1
The Beauty Detox Power: Nourish Your Mind and Body for Weight Loss and Discover True Joy|Kimberly Snyder|Mar 31, 2015|4.4|136
And I suppose we didn't go to the moon, either?: The Beatles, the Holocaust, and other mass illusions (Save the...|Jim Fetzer and Mike Palecek|May 15, 2015|4.5|8
Baking with Less Sugar: Recipes for Desserts Using Natural Sweeteners and Little-to-No White Sugar|Joanne Chang and Joseph De Leo|Apr 21, 2015|3.9|19
Romans: Grace and Glory (The Passion Translation)|Brian Simmons|Jun 1, 2015|4.9|10
Taken|Dee Henderson|Apr 28, 2015|4.5|306
Life Loves You: 7 Spiritual Practices to Heal Your Life|Louise Hay and Robert Holden Ph.D.|May 5, 2015|4.7|32
Slow Bullets|Alastair Reynolds|Jun 9, 2015|3.3|24
Bulldozer's Big Day|Candace Fleming and Eric Rohmann|May 5, 2015|4.6|9
Food Medication Interactions 18th Edition|Zaneta M Pronsky MS RD FADA and Dean Elbe BSc (Pharm) BCPP PharmD|Apr 17, 2015|5|1
A Game of Thrones: The Graphic Novel: Volume Four|Daniel Abraham and George R. R. Martin|May 12, 2015|4.9|9
The Book of Aron: A novel|Jim Shepard|May 12, 2015|4.3|45
Kaplan SSAT & ISEE 2016: For Private and Independent School Admissions (Kaplan Test Prep)|Kaplan|Jun 2, 2015|4|1
The Theft of Memory: Losing My Father, One Day at a Time|Jonathan Kozol|Jun 2, 2015|4.2|30
When the Balls Drop|Brad Garrett|May 5, 2015|3.8|51
The Tales of A Wandering Prophet: How God Can Use Anyone for His Purpose and Glory|Hubie Synn|Jun 9, 2015|5|7
See San Francisco: Through the Lens of SFGirlbyBay|Victoria Smith|Apr 28, 2015|4.6|11
I Regret Nothing: A Memoir|Jen Lancaster|May 5, 2015|4.4|125
The Catcher in the Rye: J.D. Salinger (English edition)|Editorial Pacific and J.D Salinger|Jun 14, 2015|4|4,164
Carsick: John Waters Hitchhikes Across America|John Waters|May 12, 2015|3.4|309
The Long Utopia: A Novel (Long Earth)|Terry Pratchett and Stephen Baxter|Jun 23, 2015|4|1
Anthem|Ayn Rand|Apr 24, 2015||
Dog Ate My Mad Libs|Price Stern Sloan|May 26, 2015||
A Grief Observed|C. S. Lewis and Madeleine L'Engle|Apr 21, 2015|4.6|516
Fangirl: A Novel|Rainbow Rowell|May 12, 2015|4.5|1,051
Dia De Los Muertos: Day of the Dead and Sugar Skull Coloring Book|Adult Coloring Book Artists|Apr 16, 2015|5|10
Any Other Name: A Longmire Mystery|Craig Johnson|Apr 28, 2015|4.6|743
The Wicked Will Rise (Dorothy Must Die)|Danielle Paige|Mar 31, 2015|4.3|69
Daddy Sat on a Duck (The Daddy Series)|Scott M. Cohn|May 5, 2015|4.6|34
The King's Curse (The Cousins' War)|Philippa Gregor|Apr 7, 2015|4.6|588
Agnes Martin: Her Life and Art|Nancy Princenthal|Jun 16, 2015||Artist & Architect Biographies
Unforgettable: A Son, a Mother, and the Lessons of a Lifetime|Scott Simon|Mar 31, 2015|4.4|90
Guide To Getting It On|Paul Joannides  Psy.D. and Daerick Gröss Sr.|Apr 7, 2015|4.7|94
Sensorimotor Psychotherapy: Interventions for Trauma and Attachment (Norton Series on Interpersonal Neurobiology)|Pat Ogden and Janina Fisher|Apr 27, 2015|4.8|12
Snakes! Guillotines! Electric Chairs!: My Adventures in The Alice Cooper Group|Dennis Dunaway and Chris Hodenfield|Jun 9, 2015|4.4|39
Finding Fraser|kc dyer|May 14, 2015|4.3|
The Upside of Stress: Why Stress Is Good for You, and How to Get Good at It|Kelly McGonigal|May 5, 2015|4.3|15
I, Justine: An Analog Memoir|Justine Ezarik|Jun 2, 2015|4.6|23
The China Mirage: The Hidden History of  American Disaster in Asia|James Bradle|Apr 21, 2015|4.5|42
American Contempt for Liberty (Hoover Institution Press Publication)|Walter E. Williams|May 1, 2015|5|3
GRE® 2016 Strategies, Practice, and Review with 4 Practice Tests: Book + Online (Kaplan Test Prep)|Kaplan|May 19, 2015||
Changing the Immutable: How Orthodox Judaism Rewrites Its History|Marc B. Shapiro|May 1, 2015|3.9|9
Heaven and Earth: Three Sisters Island Trilogy #2|Nora Roberts|Apr 28, 2015|4.5|396
Milk Bar Life: Recipes & Stories|Christina Tosi|Apr 7, 2015|3.7|47
A Modern Way to Eat: 200+ Satisfying Vegetarian Recipes (That Will Make You Feel Amazing)|Anna Jones|Apr 21, 2015|4.8|17
My Struggle: Book 3|Karl Ove Knausgaard and Don Bartlett|Apr 28, 2015|4.3|65
The Prepper's Water Survival Guide: Harvest, Treat, and Store Your Most Vital Resource|Daisy Luther|May 26, 2015||Water Quality & Treatment
Lonely Planet Norway (Travel Guide)|Lonely Planet and Anthony Ham|Jun 1, 2015|5|1
What Color Is Your Parachute? for Teens, Third Edition: Discover Yourself, Design Your Future, and Plan for Your...|Carol Christen and Richard N. Bolles|Apr 21, 2015|4.3|8
Safe at Last: A Slow Burn Novel (Slow Burn Novels)|Maya Banks|Jun 23, 2015|4.1|17
Shirley, I Jest!: A Storied Life|Cindy Williams and Ed Begley Jr.|May 1, 2015|3.3|31
American Warlords: How Roosevelt's High Command Led America to Victory in World War II|Jonathan W. Jordan|May 5, 2015|4.8|11
Far from the Madding Crowd|Thomas Hard|May 8, 2015|4.2|
The World Beyond Your Head: On Becoming an Individual in an Age of Distraction|Matthew B. Crawford|Mar 31, 2015|4.4|16
The Rise and Fall of Classical Greece (The Princeton History of the Ancient World)|Josiah Ober|May 4, 2015|3.8|5
The Gene Therapy Plan: Taking Control of Your Genetic Destiny with Diet and Lifestyle|Mitchell L. Gaynor MD and Mehmet C. Oz M.D.|Apr 21, 2015|4.5|53
Charles Faudree Country French Legacy|Jenifer Jordan|Apr 1, 2015|4.6|22
Jesus Was an Airborne Ranger: Find Your Purpose Following the Warrior Christ|John McDougall and Stu Weber|Apr 21, 2015|4.8|19
Learning Radiology: Recognizing the Basics, 3e|William Herring MD  FACR|Apr 30, 2015|5|3
Stick Dog Dreams of Ice Cream|Tom Watson|May 19, 2015|4.8|11
The Unraveling: High Hopes and Missed Opportunities in Iraq|Emma Sk|Apr 7, 2015|4.5|41
Vegan with a Vengeance, 10th Anniversary Edition: Over 150 Delicious, Cheap, Animal-Free Recipes That Rock|Isa Chandra Moskowitz|May 26, 2015|5|5
Irrepressible: The Jazz Age Life of Henrietta Bingham|Emily Bingham|Jun 16, 2015|5|4
Hot Pursuit (Stone Barrington)|Stuart Woods|Apr 7, 2015|3.9|580
Adultery (Vintage International)|Paulo Coelho|May 26, 2015|3.3|559
Newton on the Christian Life: To Live Is Christ (Theologians on the Christian Life)|Tony Reinke and Stephen J. Nichols|May 31, 2015|4.8|5
Operation Nemesis: The Assassination Plot that Avenged the Armenian Genocide|Eric Bogosian|Apr 21, 2015|4.6|49
Takedown: From Communists to Progressives, How the Left Has Sabotaged Family and Marriage|Paul Kengor Ph.D.|May 26, 2015||History of Religion & Politics
Where They Found Her: A Novel|Kimberly McCreight|Apr 14, 2015|4.2|181
Amish Confidential|"Lebanon" Levi Stoltzfus and Ellis Henican|Mar 31, 2015|4.1|285
Windsor Smith Homefront: Design for Modern Living|Windsor Smith and Gwyneth Paltrow|Apr 7, 2015|4.5|11
A Hot Glue Gun Mess: Funny Stories, Pretty DIY Projects|Mr. Kate|Jun 16, 2015|4.7|19
The One-Page Financial Plan: A Simple Way to Be Smart About Your Money|Carl Richards|Mar 31, 2015|4.5|157
Saturate: Being Disciples of Jesus in the Everyday Stuff of Life|Jeff Vanderstelt|Apr 30, 2015|4.9|13
R in Action: Data Analysis and Graphics with R|Robert Kabacoff|Jun 6, 2015|5|2
Imbibe! Updated and Revised Edition: From Absinthe Cocktail to Whiskey Smash, a Salute in Stories and Drinks to...|David Wondrich|Apr 7, 2015|4.5|10
Shards of Hope (Psy/Changeling)|Nalini Singh|Jun 2, 2015|4.8|228
Weed the People: The Future of Legal Marijuana in America|Bruce Barcott|Apr 7, 2015|4.6|34
The Wild Diet: Get Back to Your Roots, Burn Fat, and Drop Up to 20 Pounds in 40 Days|Abel James|Apr 7, 2015|4.7|90
All Points Patchwork: English Paper Piecing beyond the Hexagon for Quilts & Small Projects|Diane Gilleland|May 19, 2015|4.7|16
The Breaking Point: A Body Farm Novel|Jefferson Bass|Jun 9, 2015|4.7|18
The Adobe Photoshop Lightroom CC / Lightroom 6 Book: The Complete Guide for Photographers|Martin Evening|May 2, 2015|4.7|7
The Dad Report: Fathers, Sons, and Baseball Families|Kevin Cook|Jun 1, 2015||
Splatoon: Prima Official Game Guide (Prima Official Game Guides)|David Knight|May 29, 2015|4|8
Day Shift (Midnight, Texas)|Charlaine Harris|May 5, 2015|4.5|289
Rory the Dinosaur: Me and My Dad|Liz Climo|May 5, 2015|4.8|10
Hand Drawn Jokes for Smart Attractive People|Matthew Diffee|May 26, 2015|4.7|19
Machine Learning in Python: Essential Techniques for Predictive Analysis|Michael Bowles|Apr 27, 2015|4.4|8
Thanks for the Feedback: The Science and Art of Receiving Feedback Well|Douglas Stone and Sheila Heen|Mar 31, 2015|4.7|78
Rick Steves Amsterdam & the Netherlands|Rick Steves|Apr 14, 2015|5|3
Rick Steves Scandinavia|Rick Steves|Jun 23, 2015||Finland Travel Guides
The Picnic: Recipes and Inspiration from Basket to Blanket|Marnie Hanel and Andrea Slonecker|Apr 7, 2015|4.5|11
The Year of Billy Miller|Kevin Henkes|May 26, 2015|4.5|78
VHS Video Cover Art: 1980s to Early 1990s|Thomas Hodge|May 27, 2015|4.4|16
Signal: Understanding What Matters in a World of Noise|Stephen Few|Jun 1, 2015||
The Bluebook: A Uniform System of Citation|Columbia Law Review and Harvard Law Review|May 2015||
Beyond Measure: The Big Impact of Small Changes (TED Books)|Margaret Heffernan|May 5, 2015|4.7|3
Inside Out Junior Novelization (Disney/Pixar Inside Out)|Suzanne Francis|May 5, 2015||
My Struggle: Book Four|Karl Ove Knausgaard and Don Bartlett|Apr 28, 2015|4.3|16
Self-Compassion: The Proven Power of Being Kind to Yourself|Kristin Neff|Jun 23, 2015|4.6|192
Spaceshots and Snapshots of Projects Mercury and Gemini: A Rare Photographic History|John Bisney and J. L. Pickering|Jun 1, 2015|5|9
Billy's Booger|William Joyce and Moonbot|Jun 2, 2015|5|1
The Champion's Mind: How Great Athletes Think, Train, and Thrive|Jim Afremow|May 12, 2015|4.5|95
The Course: Serious Hold 'Em Strategy For Smart Players|Ed Miller|Apr 28, 2015|4.9|38
100 Buttercream Flowers: The Complete Step-by-Step Guide to Piping Flowers in Buttercream Icing|Valeri Valeriano and Christina Ong|Apr 14, 2015|4.8|31
Inside Out Driven by Emotions|Elise Allen and Disney Book Group|May 5, 2015|3.8|4
Efficiently Inefficient: How Smart Money Invests and Market Prices Are Determined|Lasse Heje Pedersen|Apr 13, 2015|4.9|9
Re Jane: A Novel|Patricia Park|May 5, 2015|4.2|38
Shadows Before Dawn: Finding the Light of Self-Love Through Your Darkest Times|Teal Swan|May 12, 2015|5|32
How to F*ck a Woman|Ali Adler|May 26, 2015|3.8|11
Flavorize: Great Marinades, Injections, Brines, Rubs, and Glazes|Ray "DR. BBQ" Lampe and Angie Mosier|Apr 21, 2015|5|4
Look Who's Back|Timur Vermes and Jamie Bulloch|May 5, 2015|4.1|109
The World's Largest Man: A Memoir|Harrison Scott Ke|May 12, 2015|4.8|18
Irrationally Yours: On Missing Socks, Pickup Lines, and Other Existential Puzzles|Dan Ariely and William Haefeli|May 19, 2015|4.1|13
Ask: The Counterintuitive Online Formula to Discover Exactly What Your Customers Want to Buy...Create a Mass of...|Ryan Levesque|Apr 21, 2015|4.9|234
